Title: Atomic Transition Probabilities for UV and Blue Lines of Fe II 
       and Abundance Determinations in the Photospheres of the Sun and 
       Metal-Poor Star HD 84937
Author: Den Hartog E.A., Lawler J.E., Sneden C., Cowan J.J., Brukhovesky A.
Table: Experimental Atomic Transition Probabilities for 131 lines of Fe II
================================================================================
Byte-by-byte Description of file: apjsab322et6_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label    Explanations
--------------------------------------------------------------------------------
   1-  8 F8.3   0.1nm    WaveAir  Wavelength in air; Angstroms (1)
  10- 19 F10.4  cm-1     UpLev    Upper level energy (1)
2343.495 42658.2444 3.5     0.0000 4.5 172.8    2.4    0.06 0.01
2343.961 45079.9019 2.5  2430.1369 3.5  29.2    2.0   -0.84 0.03
2344.281 43620.9842 1.5   977.0498 0.5  92.8    3.1   -0.51 0.01
2348.116 44446.9051 3.5  1872.5998 4.5  62.4    3.3   -0.39 0.02
2348.302 43238.6066 2.5   667.6829 2.5 102.3    2.9   -0.30 0.01
2354.889 45289.8248 1.5  2837.9807 2.5  25.5    2.1   -1.08 0.03
2359.105 43238.6066 2.5   862.6118 1.5  43.8    1.2   -0.66 0.01
2359.999 44232.5398 4.5  1872.5998 4.5  29.9    1.9   -0.60 0.03
2360.294 44784.7859 2.5  2430.1369 3.5  51.7    2.9   -0.58 0.02
2362.021 44753.8179 3.5  2430.1369 3.5  12.5    0.8   -1.08 0.03
2364.828 42658.2444 3.5   384.7872 3.5  58.0    1.0   -0.41 0.01
2366.594 45079.9019 2.5  2837.9807 2.5   9.6    0.6   -1.32 0.03
2368.596 45044.1916 1.5  2837.9807 2.5  60.9    3.6   -0.69 0.02
2370.499 45289.8248 1.5  3117.4877 1.5  15.1    1.2   -1.30 0.03
2373.735 42114.8380 4.5     0.0000 4.5  36.9    0.9   -0.51 0.01
2375.194 45206.4704 0.5  3117.4877 1.5  95.     8.    -0.79 0.04
2379.276 44446.9051 3.5  2430.1369 3.5  21.7    1.4   -0.83 0.03
2380.761 42658.2444 3.5   667.6829 2.5  30.4    0.5   -0.68 0.01
2382.037 41968.0698 5.5     0.0000 4.5 313.0    4.4    0.50 0.01
2382.358 45079.9019 2.5  3117.4877 1.5   2.63   0.20  -1.87 0.03
2383.060 42334.8444 2.5   384.7872 3.5   7.82   0.23  -1.40 0.01
2383.245 44784.7859 2.5  2837.9807 2.5  29.5    1.6   -0.82 0.02
2384.388 45044.1916 1.5  3117.4877 1.5  32.6    2.2   -0.96 0.03
2385.006 44753.8179 3.5  2837.9807 2.5   2.92   0.19  -1.70 0.03
2388.629 42237.0575 3.5   384.7872 3.5  98.0    2.6   -0.18 0.01
2391.478 44232.5398 4.5  2430.1369 3.5   2.97   0.19  -1.59 0.03
2395.419 42401.3198 1.5   667.6829 2.5  25.1    1.1   -1.06 0.02
2395.625 42114.8380 4.5   384.7872 3.5 266.     4.     0.36 0.01
2399.241 42334.8444 2.5   667.6829 2.5 137.3    3.3   -0.15 0.01
2402.599 44446.9051 3.5  2837.9807 2.5   2.13   0.13  -1.83 0.03
2404.431 42439.8511 0.5   862.6118 1.5  59.     5.    -0.99 0.04
2404.885 42237.0575 3.5   667.6829 2.5 205.     5.     0.15 0.01
2406.661 42401.3198 1.5   862.6118 1.5 167.     6.    -0.24 0.02
2410.519 42334.8444 2.5   862.6118 1.5 153.7    3.7   -0.10 0.01
2411.067 42439.8511 0.5   977.0498 0.5 242.    22.    -0.38 0.04
2413.310 42401.3198 1.5   977.0498 0.5  99.2    3.4   -0.46 0.01
2451.101 42658.2444 3.5  1872.5998 4.5   0.324  0.020 -2.63 0.03
2526.833 42401.3198 1.5  2837.9807 2.5   0.68   0.07  -2.58 0.04
2562.535 46967.4751 2.5  7955.3186 3.5 184.     6.     0.03 0.01
2563.475 47389.809  1.5  8391.9554 2.5 145.     5.    -0.25 0.01
2566.912 47626.110  0.5  8680.4706 1.5 117.2    3.8   -0.64 0.01
2577.922 47626.110  0.5  8846.7837 0.5 126.     4.    -0.60 0.01
2582.583 47389.809  1.5  8680.4706 1.5  84.9    2.7   -0.47 0.01
2585.876 38660.0537 3.5     0.0000 4.5  87.2    2.1   -0.16 0.01
2591.543 46967.4751 2.5  8391.9554 2.5  55.1    2.0   -0.48 0.02
2593.728 47389.809  1.5  8846.7837 0.5  14.9    0.5   -1.22 0.01
2598.369 38858.9696 2.5   384.7872 3.5 143.1    3.0   -0.06 0.01
2599.395 38458.9934 4.5     0.0000 4.5 236.     4.     0.38 0.01
2607.087 39013.2160 1.5   667.6829 2.5 174.     4.    -0.15 0.01
2611.073 46967.4751 2.5  8680.4706 1.5   7.23   0.31  -1.36 0.02
2611.873 38660.0537 3.5   384.7872 3.5 124.9    3.0    0.01 0.01
2613.824 39109.3161 0.5   862.6118 1.5 215.     6.    -0.36 0.01
2617.617 38858.9696 2.5   667.6829 2.5  48.5    1.0   -0.52 0.01
2620.409 39013.2160 1.5   862.6118 1.5   3.44   0.13  -1.85 0.02
2621.669 39109.3161 0.5   977.0498 0.5  53.6    1.6   -0.96 0.01
2625.667 38458.9934 4.5   384.7872 3.5  34.9    1.2   -0.44 0.01
2628.293 39013.2160 1.5   977.0498 0.5  87.0    2.6   -0.44 0.01
2631.047 38858.9696 2.5   862.6118 1.5  81.6    1.7   -0.29 0.01
2631.323 38660.0537 3.5   667.6829 2.5  59.8    1.8   -0.30 0.01
2692.834 45079.9019 2.5  7955.3186 3.5   1.50   0.07  -2.01 0.02
2714.413 44784.7859 2.5  7955.3186 3.5  54.8    1.4   -0.44 0.01
2724.884 45079.9019 2.5  8391.9554 2.5   9.69   0.36  -1.19 0.02
2727.539 45044.1916 1.5  8391.9554 2.5  98.0    3.2   -0.36 0.01
2730.734 45289.8248 1.5  8680.4706 1.5  28.0    1.6   -0.91 0.02
2732.448 38458.9934 4.5  1872.5998 4.5   0.076  0.006 -3.07 0.03
2736.966 45206.4704 0.5  8680.4706 1.5 121.     9.    -0.57 0.03
2739.547 44446.9051 3.5  7955.3186 3.5 237.     5.     0.33 0.01
2743.197 45289.8248 1.5  8846.7837 0.5 200.    11.    -0.05 0.02
2746.483 45079.9019 2.5  8680.4706 1.5 216.     7.     0.16 0.01
2746.982 44784.7859 2.5  8391.9554 2.5 178.     5.     0.08 0.01
2749.181 45044.1916 1.5  8680.4706 1.5 129.     4.    -0.24 0.01
2749.321 44753.8179 3.5  8391.9554 2.5 226.     7.     0.31 0.01
2749.486 45206.4704 0.5  8846.7837 0.5 117.     8.    -0.58 0.03
2755.736 44232.5398 4.5  7955.3186 3.5 224.     6.     0.41 0.01
2761.813 45044.1916 1.5  8846.7837 0.5  13.7    0.5   -1.20 0.02
2768.934 44784.7859 2.5  8680.4706 1.5   4.42   0.17  -1.51 0.02
2868.874 43238.6066 2.5  8391.9554 2.5   0.85   0.08  -2.21 0.04
2880.756 42658.2444 3.5  7955.3186 3.5   2.26   0.21  -1.65 0.04
2917.466 42658.2444 3.5  8391.9554 2.5   0.179  0.023 -2.74 0.05
2926.585 42114.8380 4.5  7955.3186 3.5   4.13   0.34  -1.28 0.03
2939.507 42401.3198 1.5  8391.9554 2.5   0.40   0.05  -2.68 0.05
2944.395 47626.110  0.5 13673.2045 1.5  55.1    2.8   -0.85 0.02
2947.655 47389.809  1.5 13474.4474 2.5  30.2    1.8   -0.81 0.03
2953.774 42237.0575 3.5  8391.9554 2.5   4.00   0.33  -1.38 0.03
2961.275 42439.8511 0.5  8680.4706 1.5   0.90   0.17  -2.63 0.08
2964.623 47626.110  0.5 13904.8604 0.5   9.5    0.8   -1.60 0.04
2965.032 47389.809  1.5 13673.2045 1.5   8.6    0.6   -1.35 0.03
2970.515 42334.8444 2.5  8680.4706 1.5   2.81   0.23  -1.65 0.03
2975.936 42439.8511 0.5  8846.7837 0.5   0.98   0.16  -2.59 0.07
2979.353 42401.3198 1.5  8846.7837 0.5   1.81   0.17  -2.02 0.04
2984.825 46967.4751 2.5 13474.4474 2.5  44.9    2.6   -0.45 0.02
2985.545 47389.809  1.5 13904.8604 0.5  24.0    1.6   -0.89 0.03
3002.644 46967.4751 2.5 13673.2045 1.5  16.9    1.8   -0.87 0.04
3170.337 45206.4704 0.5 13673.2045 1.5   1.30   0.23  -2.38 0.07
3183.114 45079.9019 2.5 13673.2045 1.5   1.07   0.09  -2.01 0.04
3186.737 45044.1916 1.5 13673.2045 1.5   3.84   0.26  -1.64 0.03
3192.910 44784.7859 2.5 13474.4474 2.5   1.36   0.13  -1.90 0.04
3193.801 45206.4704 0.5 13904.8604 0.5   7.4    0.7   -1.65 0.04
3196.071 44753.8179 3.5 13474.4474 2.5   1.48   0.10  -1.74 0.03
3210.445 45044.1916 1.5 13904.8604 0.5   3.80   0.29  -1.62 0.03
3213.309 44784.7859 2.5 13673.2045 1.5   6.2    0.4   -1.24 0.03
3227.743 44446.9051 3.5 13474.4474 2.5   7.5    0.5   -1.03 0.03
3255.888 38660.0537 3.5  7955.3186 3.5   0.242  0.025 -2.51 0.04
3277.349 38458.9934 4.5  7955.3186 3.5   0.45   0.09  -2.14 0.08
4173.451 44784.7859 2.5 20830.5534 2.5   0.268  0.030 -2.38 0.05
4233.162 44446.9051 3.5 20830.5534 2.5   0.45   0.05  -2.02 0.05
4303.170 45044.1916 1.5 21812.0454 1.5   0.27   0.07  -2.52 0.10
4351.762 44784.7859 2.5 21812.0454 1.5   0.66   0.11  -1.95 0.07
4385.377 45206.4704 0.5 22409.8178 0.5   0.40   0.07  -2.64 0.07
4416.819 45044.1916 1.5 22409.8178 0.5   0.23   0.05  -2.57 0.09
4508.281 45206.4704 0.5 23031.2829 1.5   0.63   0.10  -2.42 0.06
4522.628 45044.1916 1.5 22939.3512 2.5   0.42   0.06  -2.29 0.06
4549.466 44784.7859 2.5 22810.3459 3.5   0.64   0.10  -1.92 0.06
4583.829 44446.9051 3.5 22637.1950 4.5   0.45   0.06  -1.94 0.05
